Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Armenia,ARM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,81.01379422,81.80808017,81.36459475,81.43410418,81.14903206,79.84599684,79.11743602,79.32370125,79.1747546,78.85127034,78.80058617,78.52400588,78.67756703,79.48833119,79.74444759,79.91841054,79.68580507,79.72915956,79.06123742,78.44498415,87.5,86.74698795,86.66666667,84.61538462,84.48275862,84.21052632,85.96491228,85.71428571,87.03703704,86.53846154,86.79245283,87.03703704,87.3015873,88.52459016,89.39393939,87.5,91.57894737,89.87341772,87.17948718
American Samoa,ASM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,93.66891215,93.41089416,93.23314342,93.17611356,93.04321508,93.44140782,93.40861202,93.59734155,93.39495333,93.58230382,94.56671518,96.31502773,92.5471666,92.64921986,92.65979771,92.58984684,92.5629221,92.49751,92.41657902,92.60292982,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,55.92486585,57.11477656,56.07977441,53.47653762,51.88923906,49.24037758,47.11871564,46.96756425,48.51389942,55.61398353,54.31317905,56.14019455,51.3300737,59.62071559,55.47755612,59.54445776,64.96031746,65.06188448,59.69856881,59.12305497,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,33.33333333,33.33333333,33.33333333,33.33333333
Australia,AUS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,82.82472963,84.79539757,80.88953146,83.30156267,82.58094092,81.68723077,79.44813801,78.24166817,80.4471206,77.59744958,76.50746847,80.50213567,77.03651868,79.41242333,79.64307249,76.31778098,78.63886567,80.64388224,80.89423734,80.60576207,95.8039266,95.90962213,95.43187188,94.8414265,94.73961767,94.55890122,93.72677908,93.37777134,93.4031556,94.56593771,94.78005271,94.8410153,94.13550029,89.4719897,92.28082431,89.14077362,91.77268872,91.04842865,88.19645733
Austria,AUT,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,44.21940059,44.56335252,43.12440898,41.53541319,41.10243118,41.27738677,42.73822388,42.16750089,42.90987761,43.39501707,44.05719203,43.98877886,46.86570574,47.75319924,49.32162166,52.61575431,51.17550134,53.34099352,52.052699,52.91344341,66.12244898,65.17311609,65.74468085,64.08602151,64.7826087,63.39869281,63.1130064,62.93103448,62.20302376,61.33909287,60.13071895,61.88340807,60.68965517,58.75576037,67.54617414,67.36842105,66.57824934,65.84699454,65.4353562
Azerbaijan,AZE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,86.4961736,86.98907424,86.673034,86.59415258,86.20820285,85.39167334,84.84462524,84.94326965,84.604921,84.22391864,84.10800817,83.55709607,83.451376,83.89519526,84.09240821,84.05652165,84.17310696,84.23390896,83.63608891,83.2927485,90.52631579,83.16151203,81.17647059,78.29787234,77.13004484,75.89285714,75.46296296,76.21145374,76.52173913,77.21518987,77.31092437,78.98832685,79.55390335,79.7833935,80.34482759,80.33898305,80.84415584,80.64516129,81.45896657
Burundi,BDI,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,80.33492865,80.49010827,81.30240421,81.59888348,81.79331921,81.6769155,81.50934055,81.33086524,81.08301395,81.15971525,78.24499421,75.18553227,74.95629037,74.69555741,73.98817351,73.0678282,74.47000624,73.25019535,73.63503639,72.23615868,76.47058824,76.66666667,76.2295082,74.59016393,73.5042735,73.7704918,73.55371901,73.7704918,68.21705426,68.18181818,67.66917293,67.40740741,66.66666667,65.2173913,65.49295775,64.82758621,65.33333333,65.56291391,66.24203822
Belgium,BEL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,26.44222833,25.12867547,24.70151944,24.95237455,22.65523615,26.88628779,26.98021144,24.04360775,23.23242107,23.22643937,22.98147952,22.33738326,23.76429798,23.08965095,21.42363999,21.97528487,22.80981845,23.95231626,25.12256048,25.8548195,46.20098039,46.55172414,47.61904762,46.125,43.25908558,41.91011236,40.27630181,40.87912088,40.47878128,41.66666667,34.92268041,35.46666667,43.94506866,47.23756906,46.11186903,46.96755994,53.53037767,60.47358834,58.3032491
Benin,BEN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,45.03993954,44.986015,45.38576094,46.08697588,44.62341257,45.82459271,46.33610859,46.92265574,46.87708223,47.07910813,47.80522585,47.67642017,48.08746553,48.61098235,48.90798019,49.17361132,47.74382779,47.75202752,47.40491599,47.43590958,89.28571429,89.65517241,89.26553672,88.88888889,89.0052356,88.10810811,90.14084507,90.58295964,91.81034483,91.66666667,92.21311475,90.04975124,91.37931034,89.95215311,89.5,90.83333333,89.49771689,88.64628821,86.19047619
Burkina Faso,BFA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,88.77621136,88.7238777,88.31160995,87.77499997,87.67957494,87.78222236,87.82587061,88.18955259,87.97428323,88.06952704,88.31716182,88.60094305,88.75446045,88.91688302,89.08271257,89.72153825,89.27288946,89.32310837,89.48250797,89.50761536,95,95.01992032,95.10763209,95,92.30769231,92.47311828,92.22423146,92.72097054,92.96740995,93.31103679,93.64341085,92.90540541,93.00476948,94.08672799,93.98207426,93.95807645,93.68686869,93.55638166,93.56014581
Bangladesh,BGD,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,76.49556685,76.99738183,76.92001623,75.98012477,76.2232802,76.28795274,76.44716944,77.77144057,77.3235856,77.28338313,76.07834072,76.06454135,76.15332703,76.10938884,75.22963918,75.4360674,75.69913263,76.15305958,75.10152239,75.43018707,92.5091352,92.79488669,92.86122216,92.9569592,93.14994606,93.43765775,93.32023576,92.90744467,92.62418465,92.77961303,92.60299625,92.48395967,92.45535714,92.06566347,91.88576609,91.98423127,92.16261526,92.06680585,92.54706108
Bulgaria,BGR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,46.13380117,44.20712485,45.98857395,46.05096659,45.28769293,44.27317146,46.59238342,44.30015683,45.91542231,48.82448103,48.76984794,50.98786773,51.47755204,50.56817348,51.28001817,49.75673986,50.43699503,50.83167669,41.70047687,60.01149869,71.39451728,76.05042017,71.50943396,69.58424508,69.04761905,57.30593607,57.36607143,63.24582339,68.05555556,69.64285714,65.95744681,67.67676768,73.97260274,73.88392857,70.0228833,65.6641604,69.93865031,70.16574586,72.63157895
Bahrain,BHR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,30.81454392,31.32142897,29.80393223,26.65448181,21.06485896,18.93091832,16.90959068,15.5524665,14.29113931,15.08547698,14.68014915,16.93714234,13.60323509,14.10028603,15.50753079,12.81257236,21.0027503,14.10638636,16.40386522,17.64358604,50,50,50,50,66.66666667,33.33333333,50,50,50,50,25,25,40,50,42.85714286,42.85714286,42.85714286,33.33333333,42.85714286
"Bahamas, The",BHS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,25.10213264,24.63944995,24.60457637,25.28251699,22.69020342,17.34972241,20.03799836,20.37767933,15.14861921,15.22191333,14.61732241,14.29813553,13.29765776,14.06502128,13.88977188,12.43446994,12.85684714,13.17585369,12.05678278,12.29940153,40,40,40,50,50,40,40,40,50,40,40,40,40,20,42.85714286,33.33333333,33.33333333,33.33333333,42.85714286
Bosnia and Herzegovina,BIH,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,78.0178086,78.15266218,78.99530297,78.24949469,77.84958152,79.67387387,80.30329053,79.08599048,78.56979391,78.7053023,77.2510128,80.48183264,79.37504546,78.02531983,78.94292465,77.16868062,76.13785685,75.94808918,74.25519714,74.40656388,69.64285714,59.16666667,80.95238095,86.48648649,92.30769231,98.18181818,92,93.44262295,92.30769231,91.66666667,91.76470588,84.52380952,85.36585366,87.01298701,89.58333333,90,91.01123596,93.18181818,93.82716049
Belarus,BLR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,60.45119793,60.74150442,60.4540613,59.47891947,58.81344689,58.87603928,58.22343861,58.6264331,59.22451936,59.19719454,61.00162686,62.59530457,65.01279095,65.52300016,66.36757365,67.58946485,68.94545886,69.73398058,69.65068557,69.56375721,93.09360731,92.72727273,91.50726855,91.79810726,92.3524522,92.67059815,92.43697479,92.372171,92.15189873,92.19677693,92.01030928,87.27569331,92.6720286,93.00087489,93.0472103,93.16666667,93.41894061,93.26298701,93.60374415
Belize,BLZ,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,89.89604116,89.20029442,89.22697015,88.84423764,88.38494831,88.47068244,88.09387101,87.13099242,86.70708472,87.38492298,86.30956116,85.92602225,86.49029883,85.31202917,85.01124412,85.50064832,85.09760213,86.10673809,87.60081358,86.39682291,90.90909091,90.90909091,83.33333333,90.90909091,90.90909091,90,80,80,81.81818182,90.90909091,81.81818182,81.81818182,88.88888889,91.66666667,83.33333333,78.57142857,76.92307692,78.57142857,84.61538462
Bermuda,BMU,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,26.62756454,27.79281032,25.44865604,24.31644316,19.25381972,17.39323579,17.04012476,16.54709084,16.88048152,17.60200029,15.08868567,15.27075416,12.56648787,11.17972511,10.85930633,7.096765238,7.387838337,7.672296984,4.932092596,5.062130029,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,48.06673816,47.2465681,48.37424491,48.20348408,49.47562931,49.96727387,50.32005286,50.65609694,51.43069156,51.80115513,51.36880276,50.91090188,50.66971931,51.63937819,50.86987686,51.84995903,51.07503001,51.25596529,51.76753474,51.91597229,96.40718563,96.30350195,96.19047619,96.09665428,96.02888087,96.11992945,95.97806216,96.11992945,96.17940199,96.37795276,96.03305785,95.85406302,96.37681159,96.06060606,96.51006711,96.75,96.3494133,96.20915033,95.95827901
Brazil,BRA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,56.11662317,60.67945113,59.40401831,62.09871197,61.21403132,60.3130043,59.75608981,64.1438035,61.16914243,61.05062146,61.74878329,62.97942917,62.61664627,61.88516508,66.006666,65.94669049,65.09778053,63.54345296,66.02602914,66.64555524,91.85664697,90.44757377,90.88495575,90.15557476,90.29411765,90.72345391,90.44052863,90.90753278,89.68523002,89.66350024,89.31757897,90.60748022,90.14935989,90.57520005,89.5451936,89.6256,88.83853425,93.01293669,92.55547602
Barbados,BRB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,64.49751465,60.80786969,63.15440265,65.15234923,64.44130984,57.92636867,65.41472353,63.75322375,64.1136115,65.66997656,64.63449313,64.57208308,62.38830979,58.51076427,56.60072351,52.22984905,53.02191079,56.90729106,60.1259757,63.10322091,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,83.33333333,83.33333333,66.66666667,66.66666667,66.66666667,66.66666667,60,60,66.66666667,60,60,60,80
Brunei Darussalam,BRN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,16.24017921,24.43451271,19.40921289,13.65888476,24.2698913,24.55429635,25.03307012,16.5700388,13.75213196,16.07824247,13.56795965,15.7653722,15.88996766,8.51124366,14.66967331,17.53174613,14.2614854,10.87251921,13.7272834,19.72427268,87.5,77.77777778,77.77777778,75,75,66.66666667,66.66666667,77.77777778,70,72.72727273,81.81818182,75,81.81818182,75,83.33333333,75,69.23076923,76.92307692,76.92307692
Bhutan,BTN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,51.19140692,51.19798622,51.56223342,51.45208172,51.5005767,52.37174867,52.97220689,52.98755154,52.46187944,52.21876787,52.26332148,52.92099883,53.48472852,54.20462794,54.96378175,55.20712911,55.31729772,56.49480404,55.20163003,55.37505816,68.75,68.75,62.5,62.5,68.75,70.58823529,64.70588235,64.70588235,64.70588235,66.66666667,64.70588235,62.5,58.82352941,58.82352941,58.82352941,66.66666667,61.11111111,61.11111111,58.82352941
Botswana,BWA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,88.83488226,90.82701686,90.91963495,90.69965211,91.6778334,91.07466151,91.8600745,91.40532807,90.969117,89.90667876,90.69396262,91.34717078,90.83727433,90.70012076,91.7361951,91.20837943,91.22852415,89.85058058,91.47851406,91.04846632,94.57202505,93.93939394,93.55555556,93.16628702,92.98245614,93.03278689,93.53146853,92.66055046,91.33064516,90.55441478,89.59660297,91.70984456,91.97324415,78.96995708,81.53846154,84.44444444,87.88598575,83.125,92.73670558
Central African Republic,CAF,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,76.1091398,75.81611842,75.66233426,76.28486585,73.646239,74.66993595,75.19125366,76.54559005,74.98188289,75.87059072,77.34352348,75.89171118,76.92272375,76.3322337,76.11998876,75.10029893,75.34470112,75.80671495,75.0756009,76.07203655,42.43386243,42.04545455,41.30765332,40.64676617,35.89855706,35.45337344,37.67762891,37.34025559,39.25729443,35.79277865,38.91733723,34.27435388,31.23160992,38.35616438,35.17994339,36.72248804,36.59018987,36.65884194,38.0212282
Canada,CAN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,32.58465295,32.74795261,37.15608067,36.99528523,34.73654493,36.38571229,32.37741353,33.68597652,35.18808067,27.15627315,25.92927348,26.83559424,37.08112992,35.90024682,36.75571996,36.32336452,38.84247605,39.66367194,36.67840794,27.02494428,56.60109031,58.26357331,58.58323495,60.37511871,57.46789818,58.6289445,58.52202552,59.35622318,65.76535289,69.61529037,69.57961783,68.77409406,68.45119522,68.93846531,66.51754179,68.69364162,69.93785603,72.47230733,71.01346563
Central Europe and the Baltics,CEB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,71.85867607,73.92994433,72.19057986,70.58867141,69.10915011,67.137611,66.12399363,67.61389877,68.37961972,68.66852057,65.56074055,66.30577798,68.21537342,66.3709168,65.31040852,64.62908374,65.95611611,65.96699475,70.09845707
Switzerland,CHE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,55.37605623,55.09058619,54.69630851,53.91977539,54.34618836,55.54158956,56.96458602,56.11017805,56.81997903,57.56586935,57.48177627,55.98617343,57.95319408,57.50644493,58.5508613,57.86676801,57.09226328,57.39740409,58.03767705,57.51555717,77.69516729,76.86567164,76.60377358,77.01149425,77.01149425,76.53846154,76.06177606,76.09561753,75.6,75.10373444,74.78991597,75.93360996,75.10917031,75.22123894,77.13004484,77.97356828,78.07017544,78.125,77.48917749
Channel Islands,CHI,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,78.29264377,79.13933116,79.51650724,80.60875045,80.51477004,81.47759478,79.6288453,81.64475305,80.49293151,80.20671007,79.59480202,80.52135399,80.8709739,80.54035883,81.35449239,80.60407616,80.73880262,80.05741737,80.37842772,79.28109048,81.93277311,81.34171908,81.28772636,81.53846154,82.80961183,81.78633975,80.73701843,79.61165049,78.11501597,77.33537519,76.23318386,77.37556561,78.79699248,79.31034483,82.21574344,82.58859784,83.13253012,80.55555556,78.96725441
China,CHN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,74.64750928,75.18619999,74.40698242,73.14333654,73.29924469,72.63471477,73.2900582,72.41497118,70.95974427,71.61940153,71.78108439,72.07229618,72.46012258,71.98700562,72.91182422,72.64746417,72.29502039,73.62582292,74.47744736,74.77110285,81.071577,81.2341584,81.29810949,80.49901718,81.05048538,82.38307049,82.6827054,80.47576423,80.05404403,80.03860219,78.78418981,78.12644803,78.32648138,77.64884822,77.59379535,77.28515032,76.06684097,74.73240567,73.85261797
Cote d'Ivoire,CIV,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,18.09045095,18.16582496,18.58454237,18.34762219,19.21668785,19.71137757,20.20169253,20.32730483,21.23265885,21.10095499,20.3270569,20.85496723,20.44052654,20.60106784,21.02286718,21.32779101,21.67453447,21.37975069,22.7140297,22.80897888,94.96124031,83.05647841,74.05247813,67.35218509,61.89376443,65.70743405,68.51851852,74.12398922,78.97727273,84.11214953,90.90909091,91.79331307,92.79778393,92.79538905,91.25874126,93.22033898,93.35347432,93.58600583,93.35443038
Cameroon,CMR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,62.34364415,62.54538262,62.01770425,62.09936691,61.31192653,62.19061001,62.99634227,64.18558934,64.43808144,64.57870583,65.71982219,65.64164096,64.72230889,64.21859029,64.34544149,65.62098341,65.93874336,66.18497693,66.87432764,66.98234891,87.82287823,87.3605948,87.40740741,87.06099815,7.762706325,7.762706325,7.973259416,8.242562185,9.055752498,8.99709771,10.01115894,9.401572277,9.282158343,10.23034154,9.130364893,10.20796952,9.39350296,9.197244031,8.895311496
"Congo, Dem. Rep.",COD,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,38.77581283,30.16388227,31.73439308,32.98630762,30.35348464,33.63432186,31.79295096,33.87938735,34.37865881,37.44082623,34.87323378,32.47979741,34.18039842,33.60961588,28.28911703,28.79518451,28.7461347,34.81040108,27.58876632,30.70133825,90.625,90.50678087,90.33404407,90.3202847,90.18492176,90.07142857,87.75510204,87.56805808,88.26086957,87.22800378,85.91817317,87.5996457,89.78417266,90.40370615,90.90909091,90.6506633,90.42883779,88.91986063,89.24802111
"Congo, Rep.",COG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,40.46458739,45.32547369,44.93221951,44.25322701,45.76325159,44.52797403,46.05299087,44.5815704,43.91785587,41.36571929,42.80975152,44.27965025,43.32534339,43.28462027,45.92731101,46.45213521,48.69631907,45.91938092,51.03904728,50.60373288,94.73684211,95.39473684,95.39473684,95.39473684,94.77124183,95.39473684,92.13483146,92.30769231,92.55319149,92.55319149,91.56626506,92.04545455,94.64285714,96.15384615,95.73170732,96.23655914,96.2962963,95.40229885,95.42857143
Colombia,COL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,77.76439836,80.9565901,79.67033267,81.58515906,82.06846436,81.12160039,80.08949396,82.39752781,80.88892598,80.16809022,79.65063189,80.65955059,78.94836634,79.95737619,81.60747535,80.96589332,80.84091793,79.45068579,80.91385058,81.29475261,90.85331846,90.57445622,90.29017857,90.19178082,90.07551241,89.90280778,89.59474261,89.43623426,89.41429339,88.86414254,88.94308943,89.07651715,89.03896104,89.26780341,89.19722498,89.55296404,89.3111639,89.58333333,88.73045078
Comoros,COM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,92.32133543,91.98636959,91.84620247,91.74036097,91.69108545,91.57800624,91.32287081,90.77787968,90.55193686,89.6836556,89.30369821,88.99029819,88.24524017,87.69891396,86.95860249,86.44343956,85.68818267,84.98903021,84.69371356,83.8134362,100,100,100,100,100,100,80,80,100,100,80,80,100,80,80,80,80,80,100
Cabo Verde,CPV,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,79.37157356,77.89166347,77.62815848,75.52827916,73.63926774,70.39769278,70.65272302,68.42868242,66.85300867,68.68040524,69.28660209,67.20162244,77.30455658,72.63362727,71.23162682,72.27065287,79.01561812,81.3111039,82.25505161,83.19152046,83.33333333,100,100,100,85.71428571,88.88888889,83.33333333,85.71428571,87.5,88.88888889,87.5,87.5,100,87.5,88.88888889,88.88888889,88.88888889,88.88888889,88.88888889
Costa Rica,CRI,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.53788254,89.54406927,89.58066628,88.81059782,88.48059582,88.19782624,87.83343688,88.08287748,87.95221398,87.87700524,88.15375962,88.69582049,88.80480682,89.91186066,88.91118056,89.47386767,89.07546649,87.56160675,85.89328102,84.85618202,92.81437126,92.98245614,92.98245614,92.85714286,92.12121212,92.20779221,84.26966292,84.69945355,85.02673797,82.73809524,81.13207547,79.05405405,78.23129252,79.87421384,77.18120805,77.56410256,77.84810127,78.44311377,79.54545455
Caribbean small states,CSS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,80.67418692,81.01513443,80.70253902,81.54883407,80.57390514,82.00858242,81.37880713,81.32683798,80.65660315,79.6370957,79.98685776,79.63665504,79.90016347,81.21510673,80.89148675,78.58780879,77.84729863,77.17688513,78.73743179
Cuba,CUB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,81.63299704,80.914329,80.60077244,78.65898505,77.74848379,77.43029167,78.21848145,80.17155648,75.46837603,71.28496857,72.71931242,71.95248026,76.51914401,78.41435705,72.02443107,69.53039373,70.27891981,71.29356996,71.27097218,71.94324228,77.00787402,79.62328767,82.71375465,85.55798687,90.39408867,89.38271605,88.14814815,88.6746988,88.55721393,88.12664908,88.23529412,88.68894602,87.84530387,87.05882353,87.14285714,86.62613982,87.28323699,87.78409091,87.98882682
Curacao,CUW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,70.6067834,71.18487438,68.17418995,67.98556757,63.88956181,60.87402155,61.35457438,60.78184515,59.61845119,59.91690738,54.46854584,51.68754381,51.09381729,57.18260849,24.82706653,27.27177572,28.64555213,27.18397558,10.89688315,10.66727204,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,85.87471493,86.13396266,85.7997694,85.9909025,83.82926858,85.75510579,83.30843512,79.02726998,78.46182187,78.49633001,77.47084549,78.67260859,78.60598215,73.97849433,79.3486866,79.11510572,78.46301583,76.38589372,70.11989248,71.97668033,75,69.6969697,75.67567568,75.67567568,72.97297297,72.97297297,71.79487179,70.27027027,71.05263158,71.05263158,67.56756757,69.23076923,70.73170732,70.73170732,67.5,64.86486486,65.78947368,63.15789474,62.16216216
